"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","POST /comments","api","Tue Dec 17 19:48:09 GMT 2024","passed","Tue Dec 17 19:48:09 GMT 2024","Функциональные API тесты","","",""
"","129","GET /posts","api","Tue Dec 17 19:48:09 GMT 2024","passed","Tue Dec 17 19:48:09 GMT 2024","Функциональные API тесты","","",""
"","1114","Редактирование названия статьи","chromium","Tue Dec 17 19:48:05 GMT 2024","passed","Tue Dec 17 19:48:06 GMT 2024","Тесты на статьи пользователя","","",""
"","1039","Публикация статьи пользователем","chromium","Tue Dec 17 19:48:04 GMT 2024","passed","Tue Dec 17 19:48:05 GMT 2024","Тесты на статьи пользователя","","",""
"","763","Добавление фото пользователя","chromium","Tue Dec 17 19:48:00 GMT 2024","passed","Tue Dec 17 19:48:01 GMT 2024","Тесты на профиль пользователя","","",""
"","795","Изменение имени пользователя","chromium","Tue Dec 17 19:48:01 GMT 2024","passed","Tue Dec 17 19:48:01 GMT 2024","Тесты на профиль пользователя","","",""
"","1144","Проверка невозможности редактирования тега","chromium","Tue Dec 17 19:48:07 GMT 2024","passed","Tue Dec 17 19:48:09 GMT 2024","Тесты на статьи пользователя","","",""
"","1294","Редактирование текста статьи","chromium","Tue Dec 17 19:48:06 GMT 2024","passed","Tue Dec 17 19:48:07 GMT 2024","Тесты на статьи пользователя","","",""
"","47","POST /posts","api","Tue Dec 17 19:48:09 GMT 2024","passed","Tue Dec 17 19:48:09 GMT 2024","Функциональные API тесты","","",""
"","55","PUT /posts/1","api","Tue Dec 17 19:48:09 GMT 2024","passed","Tue Dec 17 19:48:09 GMT 2024","Функциональные API тесты","","",""
"","711","Успешный выход из системы","chromium","Tue Dec 17 19:48:03 GMT 2024","passed","Tue Dec 17 19:48:04 GMT 2024","Тесты на профиль пользователя","","",""
"","846","Изменение email пользователя","chromium","Tue Dec 17 19:48:01 GMT 2024","passed","Tue Dec 17 19:48:02 GMT 2024","Тесты на профиль пользователя","","",""
"","1128","Изменение Bio пользователя","chromium","Tue Dec 17 19:47:59 GMT 2024","passed","Tue Dec 17 19:48:00 GMT 2024","Тесты на профиль пользователя","","",""
"","933","Успешная авторизация пользователя","chromium","Tue Dec 17 19:48:02 GMT 2024","passed","Tue Dec 17 19:48:03 GMT 2024","Тесты на профиль пользователя","","",""
"","31","GET /comments","api","Tue Dec 17 19:48:09 GMT 2024","passed","Tue Dec 17 19:48:09 GMT 2024","Функциональные API тесты","","",""
"","31","DELETE /posts/1","api","Tue Dec 17 19:48:09 GMT 2024","passed","Tue Dec 17 19:48:10 GMT 2024","Функциональные API тесты","","",""
